Fecha,Houston ShipChl (USD/MMB),Waha (USD/MMB)
01/01/2000,1.880,1.870
02/01/2000,1.880,1.870
03/01/2000,1.880,1.870
04/01/2000,1.880,1.870
05/01/2000,2.145,2.150
06/01/2000,2.175,2.210
07/01/2000,2.195,2.165
08/01/2000,2.200,2.155
09/01/2000,2.200,2.155
10/01/2000,2.200,2.155
11/01/2000,2.190,2.150
12/01/2000,2.220,2.160
13/01/2000,2.240,2.170
14/01/2000,2.270,2.170
15/01/2000,2.255,2.175
16/01/2000,2.255,2.175
17/01/2000,2.255,2.175
18/01/2000,2.255,2.175
19/01/2000,2.330,2.245
20/01/2000,2.375,2.300
21/01/2000,2.510,2.420
22/01/2000,2.560,2.445
23/01/2000,2.560,2.445
24/01/2000,2.560,2.445
25/01/2000,2.510,2.425
26/01/2000,2.625,2.530
27/01/2000,2.680,2.575
28/01/2000,2.675,2.560
29/01/2000,2.805,2.665
30/01/2000,2.805,2.665
31/01/2000,2.805,2.665
01/02/2000,2.655,2.585
02/02/2000,2.775,2.680
03/02/2000,2.860,2.775
04/02/2000,2.755,2.650
05/02/2000,2.635,2.515
06/02/2000,2.635,2.515
07/02/2000,2.635,2.515
08/02/2000,2.680,2.530
09/02/2000,2.540,2.385
10/02/2000,2.560,2.440
11/02/2000,2.585,2.465
12/02/2000,2.575,2.450
13/02/2000,2.575,2.450
14/02/2000,2.575,2.450
15/02/2000,2.555,2.435
16/02/2000,2.570,2.465
17/02/2000,2.610,2.510
18/02/2000,2.610,2.515
19/02/2000,2.615,2.510
20/02/2000,2.615,2.510
21/02/2000,2.615,2.510
22/02/2000,2.615,2.510
23/02/2000,2.545,2.435
24/02/2000,2.505,2.380
25/02/2000,2.525,2.410
26/02/2000,2.525,2.425
27/02/2000,2.525,2.425
28/02/2000,2.525,2.425
29/02/2000,2.595,2.480
01/03/2000,2.660,2.565
02/03/2000,2.740,2.640
03/03/2000,2.825,2.720
04/03/2000,2.750,2.635
05/03/2000,2.750,2.635
06/03/2000,2.750,2.635
